Source;Target;Type;Weight
IT02660450426;IT01298290428;Undirected;3
IT02660450426;IT02598660427;Undirected;3
IT02660450426;IT00695180422;Undirected;3
IT02660450426;IT02062390444;Undirected;3
IT02660450426;IT02281470449;Undirected;3
IT02660450426;IT02542630419;Undirected;3
IT02660450426;IT00635740418;Undirected;3
IT02660450426;IT00113220412;Undirected;3
IT02660450426;IT02065150449;Undirected;3
IT02660450426;IT02377220427;Undirected;3
IT02660450426;IT01079710438;Undirected;3
IT02660450426;IT00692590425;Undirected;3
IT02660450426;IT00440110419;Undirected;3
IT02660450426;IT01668090440;Undirected;3
IT02660450426;IT01880920432;Undirected;3
IT02660450426;IT00120470414;Undirected;3
IT02660450426;IT02597450424;Undirected;3
IT02660450426;IT02059520441;Undirected;3
IT02660450426;IT00912080439;Undirected;3
IT02660450426;IT01326180419;Undirected;3
IT02660450426;IT01667770430;Undirected;3
IT02660450426;IT01475310437;Undirected;3
IT02660450426;IT02729210423;Undirected;3
IT02660450426;IT01838940433;Undirected;3
IT02660450426;IT00384350435;Undirected;3
IT02660450426;IT02240540449;Undirected;3
IT02660450426;IT01447410414;Undirected;3
IT02660450426;IT02088990425;Undirected;3
IT02660450426;IT01147580425;Undirected;3
IT02660450426;IT00854140670;Undirected;3
IT02660450426;IT02677640423;Undirected;3
IT02660450426;IT01808760431;Undirected;3
IT02660450426;IT02027680442;Undirected;3
IT02660450426;IT00881800429;Undirected;3
IT02660450426;IT02564320428;Undirected;3
IT02660450426;IT01684050436;Undirected;3
IT02660450426;IT01842480442;Undirected;3
IT02660450426;IT01804530440;Undirected;3
IT02660450426;IT02187050428;Undirected;3
IT02660450426;IT00514510429;Undirected;3
IT02660450426;IT01208700433;Undirected;3
IT02660450426;IT02406110417;Undirected;3
IT02660450426;IT02148460419;Undirected;3
IT02660450426;IT01151250444;Undirected;3
IT02660450426;IT00482590445;Undirected;3
IT02660450426;IT02154180406;Undirected;3
IT02660450426;IT02173910411;Undirected;3
IT02660450426;IT00672550423;Undirected;3
IT02660450426;IT02400170425;Undirected;3
IT02660450426;IT02551120427;Undirected;3
IT02660450426;IT00790660674;Undirected;3
IT02660450426;IT00708790423;Undirected;3
IT02660450426;IT01416980421;Undirected;3
IT02660450426;IT02058040441;Undirected;3
IT02660450426;IT02447930401;Undirected;3
IT02660450426;IT02704040423;Undirected;3
IT02660450426;IT00193430428;Undirected;3
IT02660450426;IT01274780434;Undirected;3
IT02660450426;IT01469270423;Undirected;3
IT02660450426;IT02177910425;Undirected;3
IT02660450426;IT01469410417;Undirected;3
IT02660450426;IT01293310429;Undirected;3
IT01298290428;IT02598660427;Undirected;3
IT01298290428;IT00695180422;Undirected;3
IT01298290428;IT02062390444;Undirected;4
IT01298290428;IT02394680413;Undirected;3
IT01298290428;IT01266140423;Undirected;3
IT01298290428;IT02043510425;Undirected;3
IT01298290428;IT02281470449;Undirected;4
IT01298290428;IT02542630419;Undirected;4
IT01298290428;IT00635740418;Undirected;4
IT01298290428;IT00113220412;Undirected;4
IT01298290428;IT02065150449;Undirected;4
IT01298290428;IT02377220427;Undirected;3
IT01298290428;IT01079710438;Undirected;4
IT01298290428;IT00692590425;Undirected;4
IT01298290428;IT00440110419;Undirected;4
IT01298290428;IT01795210432;Undirected;3
IT01298290428;IT01668090440;Undirected;4
IT01298290428;IT01880920432;Undirected;4
IT01298290428;IT00412840449;Undirected;3
IT01298290428;IT00120470414;Undirected;4
IT01298290428;IT02597450424;Undirected;4
IT01298290428;IT02645220423;Undirected;3
IT01298290428;IT01025590447;Undirected;3
IT01298290428;IT02059520441;Undirected;4
IT01298290428;IT00912080439;Undirected;4
IT01298290428;IT01326180419;Undirected;4
IT01298290428;IT01667770430;Undirected;4
IT01298290428;IT01581200423;Undirected;3
IT01298290428;IT01475310437;Undirected;4
IT01298290428;IT00252600432;Undirected;3
IT01298290428;IT02729210423;Undirected;4
IT01298290428;IT02273130449;Undirected;3
IT01298290428;IT00360680441;Undirected;3
IT01298290428;IT02408060420;Undirected;3
IT01298290428;IT01838940433;Undirected;3
IT01298290428;IT00384350435;Undirected;4
IT01298290428;IT02489180428;Undirected;3
IT01298290428;IT02240540449;Undirected;4
IT01298290428;IT01447410414;Undirected;4
IT01298290428;IT02088990425;Undirected;3
IT01298290428;IT01147580425;Undirected;4
IT01298290428;IT00854140670;Undirected;4
IT01298290428;IT02236610420;Undirected;3
IT01298290428;IT02677640423;Undirected;4
IT01298290428;IT01808760431;Undirected;3
IT01298290428;IT02027680442;Undirected;4
IT01298290428;IT02000310421;Undirected;3
IT01298290428;IT02298090446;Undirected;3
IT01298290428;IT00881800429;Undirected;4
IT01298290428;IT02564320428;Undirected;4
IT01298290428;IT00435620422;Undirected;3
IT01298290428;IT01684050436;Undirected;4
IT01298290428;IT01842480442;Undirected;3
IT01298290428;IT01804530440;Undirected;4
IT01298290428;IT02187050428;Undirected;4
IT01298290428;IT00514510429;Undirected;4
IT01298290428;IT01208700433;Undirected;4
IT01298290428;IT02406110417;Undirected;4
IT01298290428;IT02187070426;Undirected;3
IT01298290428;IT02074220423;Undirected;3
IT01298290428;IT02148460419;Undirected;4
IT01298290428;IT01151250444;Undirected;4
IT01298290428;IT00482590445;Undirected;3
IT01298290428;IT02154180406;Undirected;3
IT01298290428;IT01702040443;Undirected;3
IT01298290428;IT02173910411;Undirected;4
IT01298290428;IT00672550423;Undirected;4
IT01298290428;IT02205480425;Undirected;3
IT01298290428;IT02400170425;Undirected;4
IT01298290428;IT02551120427;Undirected;4
IT01298290428;IT00342060449;Undirected;3
IT01298290428;IT00790660674;Undirected;4
IT01298290428;IT01849970437;Undirected;3
IT01298290428;IT02518330424;Undirected;3
IT01298290428;IT02311080424;Undirected;3
IT01298290428;IT00708790423;Undirected;4
IT01298290428;IT01416980421;Undirected;4
IT01298290428;IT02058040441;Undirected;3
IT01298290428;IT02447930401;Undirected;4
IT01298290428;IT02704040423;Undirected;3
IT01298290428;IT02365690417;Undirected;3
IT01298290428;IT01903590436;Undirected;3
IT01298290428;IT00193430428;Undirected;4
IT01298290428;IT01370530428;Undirected;3
IT01298290428;IT01274780434;Undirected;4
IT01298290428;IT01469270423;Undirected;4
IT01298290428;IT02177910425;Undirected;4
IT01298290428;IT01469410417;Undirected;3
IT01298290428;IT01293310429;Undirected;4
IT02598660427;IT00695180422;Undirected;3
IT02598660427;IT02062390444;Undirected;3
IT02598660427;IT02281470449;Undirected;3
IT02598660427;IT02542630419;Undirected;3
IT02598660427;IT00635740418;Undirected;3
IT02598660427;IT00113220412;Undirected;3
IT02598660427;IT02065150449;Undirected;3
IT02598660427;IT02377220427;Undirected;3
IT02598660427;IT01079710438;Undirected;3
IT02598660427;IT00692590425;Undirected;3
IT02598660427;IT00440110419;Undirected;3
IT02598660427;IT01668090440;Undirected;3
IT02598660427;IT01880920432;Undirected;3
IT02598660427;IT00120470414;Undirected;3
IT02598660427;IT02597450424;Undirected;3
IT02598660427;IT02059520441;Undirected;3
IT02598660427;IT00912080439;Undirected;3
IT02598660427;IT01326180419;Undirected;3
IT02598660427;IT01667770430;Undirected;3
IT02598660427;IT01475310437;Undirected;3
IT02598660427;IT02729210423;Undirected;3
IT02598660427;IT01838940433;Undirected;3
IT02598660427;IT00384350435;Undirected;3
IT02598660427;IT02240540449;Undirected;3
IT02598660427;IT01447410414;Undirected;3
IT02598660427;IT02088990425;Undirected;3
IT02598660427;IT01147580425;Undirected;3
IT02598660427;IT00854140670;Undirected;3
IT02598660427;IT02677640423;Undirected;3
IT02598660427;IT01808760431;Undirected;3
IT02598660427;IT02027680442;Undirected;3
IT02598660427;IT00881800429;Undirected;3
IT02598660427;IT02564320428;Undirected;3
IT02598660427;IT01684050436;Undirected;3
IT02598660427;IT01842480442;Undirected;3
IT02598660427;IT01804530440;Undirected;3
IT02598660427;IT02187050428;Undirected;3
IT02598660427;IT00514510429;Undirected;3
IT02598660427;IT01208700433;Undirected;3
IT02598660427;IT02406110417;Undirected;3
IT02598660427;IT02148460419;Undirected;3
IT02598660427;IT01151250444;Undirected;3
IT02598660427;IT00482590445;Undirected;3
IT02598660427;IT02154180406;Undirected;3
IT02598660427;IT02173910411;Undirected;3
IT02598660427;IT00672550423;Undirected;3
IT02598660427;IT02400170425;Undirected;3
IT02598660427;IT02551120427;Undirected;3
IT02598660427;IT00790660674;Undirected;3
IT02598660427;IT00708790423;Undirected;3
IT02598660427;IT01416980421;Undirected;3
IT02598660427;IT02058040441;Undirected;3
IT02598660427;IT02447930401;Undirected;3
IT02598660427;IT02704040423;Undirected;3
IT02598660427;IT00193430428;Undirected;3
IT02598660427;IT01274780434;Undirected;3
IT02598660427;IT01469270423;Undirected;3
IT02598660427;IT02177910425;Undirected;3
IT02598660427;IT01469410417;Undirected;3
IT02598660427;IT01293310429;Undirected;3
IT01806830434;IT02087310443;Undirected;3
IT01806830434;IT02062390444;Undirected;3
IT01806830434;IT02394680413;Undirected;3
IT01806830434;IT01266140423;Undirected;3
IT01806830434;IT02043510425;Undirected;3
IT01806830434;IT02281470449;Undirected;3
IT01806830434;IT02542630419;Undirected;3
IT01806830434;IT00635740418;Undirected;3
IT01806830434;IT00113220412;Undirected;3
IT01806830434;IT01815550445;Undirected;3
IT01806830434;IT01079710438;Undirected;3
IT01806830434;IT01668090440;Undirected;3
IT01806830434;IT02597450424;Undirected;3
IT01806830434;IT02645220423;Undirected;3
IT01806830434;IT01025590447;Undirected;3
IT01806830434;IT00912080439;Undirected;3
IT01806830434;IT01326180419;Undirected;3
IT01806830434;IT01475310437;Undirected;3
IT01806830434;IT02729210423;Undirected;3
IT01806830434;IT00360680441;Undirected;3
IT01806830434;IT02408060420;Undirected;3
IT01806830434;IT00384350435;Undirected;3
IT01806830434;IT02489180428;Undirected;3
IT01806830434;IT02240540449;Undirected;3
IT01806830434;IT01447410414;Undirected;3
IT01806830434;IT01147580425;Undirected;3
IT01806830434;IT00854140670;Undirected;3
IT01806830434;IT02236610420;Undirected;3
IT01806830434;IT02677640423;Undirected;3
IT01806830434;IT01808760431;Undirected;3
IT01806830434;IT02000310421;Undirected;3
IT01806830434;IT02564320428;Undirected;3
IT01806830434;IT01684050436;Undirected;3
IT01806830434;IT01804530440;Undirected;3
IT01806830434;IT01208700433;Undirected;3
IT01806830434;IT02187070426;Undirected;3
IT01806830434;IT02148460419;Undirected;3
IT01806830434;IT01151250444;Undirected;3
IT01806830434;IT02173910411;Undirected;3
IT01806830434;IT02205480425;Undirected;3
IT01806830434;IT02400170425;Undirected;3
IT01806830434;IT02551120427;Undirected;3
IT01806830434;IT01849970437;Undirected;3
IT01806830434;IT02518330424;Undirected;3
IT01806830434;IT00708790423;Undirected;3
IT01806830434;IT01590580443;Undirected;3
IT01806830434;IT02704040423;Undirected;3
IT01806830434;IT00193430428;Undirected;3
IT01806830434;IT01274780434;Undirected;3
IT01806830434;IT02177910425;Undirected;3
IT01806830434;IT01293310429;Undirected;3
IT01806830434;IT02741730424;Undirected;3
IT01806830434;IT00691800429;Undirected;3
IT02087310443;IT02062390444;Undirected;3
IT02087310443;IT02394680413;Undirected;3
IT02087310443;IT01266140423;Undirected;3
IT02087310443;IT02043510425;Undirected;3
IT02087310443;IT02281470449;Undirected;3
IT02087310443;IT02542630419;Undirected;3
IT02087310443;IT00635740418;Undirected;3
IT02087310443;IT00113220412;Undirected;3
IT02087310443;IT01815550445;Undirected;3
IT02087310443;IT01079710438;Undirected;3
IT02087310443;IT01668090440;Undirected;3
IT02087310443;IT02597450424;Undirected;3
IT02087310443;IT02645220423;Undirected;3
IT02087310443;IT01025590447;Undirected;3
IT02087310443;IT00912080439;Undirected;3
IT02087310443;IT01326180419;Undirected;3
IT02087310443;IT01475310437;Undirected;3
IT02087310443;IT02729210423;Undirected;3
IT02087310443;IT00360680441;Undirected;3
IT02087310443;IT02408060420;Undirected;3
IT02087310443;IT00384350435;Undirected;3
IT02087310443;IT02489180428;Undirected;3
IT02087310443;IT02240540449;Undirected;3
IT02087310443;IT01447410414;Undirected;3
IT02087310443;IT01147580425;Undirected;3
IT02087310443;IT00854140670;Undirected;3
IT02087310443;IT02236610420;Undirected;3
IT02087310443;IT02677640423;Undirected;3
IT02087310443;IT01808760431;Undirected;3
IT02087310443;IT02000310421;Undirected;3
IT02087310443;IT02564320428;Undirected;3
IT02087310443;IT01684050436;Undirected;3
IT02087310443;IT01804530440;Undirected;3
IT02087310443;IT01208700433;Undirected;3
IT02087310443;IT02187070426;Undirected;3
IT02087310443;IT02148460419;Undirected;3
IT02087310443;IT01151250444;Undirected;3
IT02087310443;IT02173910411;Undirected;3
IT02087310443;IT02205480425;Undirected;3
IT02087310443;IT02400170425;Undirected;3
IT02087310443;IT02551120427;Undirected;3
IT02087310443;IT01849970437;Undirected;3
IT02087310443;IT02518330424;Undirected;3
IT02087310443;IT00708790423;Undirected;3
IT02087310443;IT01590580443;Undirected;3
IT02087310443;IT02704040423;Undirected;3
IT02087310443;IT00193430428;Undirected;3
IT02087310443;IT01274780434;Undirected;3
IT02087310443;IT02177910425;Undirected;3
IT02087310443;IT01293310429;Undirected;3
IT02087310443;IT02741730424;Undirected;3
IT02087310443;IT00691800429;Undirected;3
IT00695180422;IT02062390444;Undirected;5
IT00695180422;IT02394680413;Undirected;3
IT00695180422;IT01252650443;Undirected;3
IT00695180422;IT01266140423;Undirected;3
IT00695180422;IT02043510425;Undirected;3
IT00695180422;IT02281470449;Undirected;5
IT00695180422;IT02542630419;Undirected;5
IT00695180422;IT00635740418;Undirected;5
IT00695180422;IT00113220412;Undirected;5
IT00695180422;IT02065150449;Undirected;5
IT00695180422;IT02377220427;Undirected;4
IT00695180422;IT00641390414;Undirected;3
IT00695180422;IT01703260446;Undirected;3
IT00695180422;IT01815550445;Undirected;3
IT00695180422;IT01079710438;Undirected;5
IT00695180422;IT01558770424;Undirected;3
IT00695180422;IT00692590425;Undirected;4
IT00695180422;IT02410480418;Undirected;3
IT00695180422;IT00440110419;Undirected;3
IT00695180422;IT01795210432;Undirected;4
IT00695180422;IT01668090440;Undirected;4
IT00695180422;IT01880920432;Undirected;4
IT00695180422;IT00412840449;Undirected;3
IT00695180422;IT00120470414;Undirected;3
IT00695180422;IT01734120437;Undirected;4
IT00695180422;IT02597450424;Undirected;4
IT00695180422;IT02645220423;Undirected;3
IT00695180422;IT01025590447;Undirected;3
IT00695180422;IT01743620435;Undirected;3
IT00695180422;IT01342360433;Undirected;3
IT00695180422;IT02059520441;Undirected;4
IT00695180422;IT02600880427;Undirected;3
IT00695180422;IT01538780428;Undirected;3
IT00695180422;IT00912080439;Undirected;3
IT00695180422;IT01326180419;Undirected;5
IT00695180422;IT02724130428;Undirected;3
IT00695180422;IT01667770430;Undirected;4
IT00695180422;IT01475310437;Undirected;4
IT00695180422;IT00252600432;Undirected;3
IT00695180422;IT02729210423;Undirected;5
IT00695180422;IT01847700430;Undirected;3
IT00695180422;IT02273130449;Undirected;3
IT00695180422;IT01168330429;Undirected;4
IT00695180422;IT00360680441;Undirected;3
IT00695180422;IT02408060420;Undirected;4
IT00695180422;IT01838940433;Undirected;3
IT00695180422;IT00384350435;Undirected;3
IT00695180422;IT02489180428;Undirected;3
IT00695180422;IT02630450423;Undirected;3
IT00695180422;IT02240540449;Undirected;4
IT00695180422;IT01447410414;Undirected;5
IT00695180422;IT02088990425;Undirected;5
IT00695180422;IT01561100437;Undirected;3
IT00695180422;IT01147580425;Undirected;3
IT00695180422;IT00854140670;Undirected;4
IT00695180422;IT02236610420;Undirected;3
IT00695180422;IT02677640423;Undirected;4
IT00695180422;IT02447480415;Undirected;3
IT00695180422;IT01808760431;Undirected;5
IT00695180422;IT02027680442;Undirected;5
IT00695180422;IT02000310421;Undirected;4
IT00695180422;IT02298090446;Undirected;4
IT00695180422;IT00881800429;Undirected;3
IT00695180422;IT02564320428;Undirected;3
IT00695180422;IT00435620422;Undirected;3
IT00695180422;IT01684050436;Undirected;5
IT00695180422;IT01842480442;Undirected;3
IT00695180422;IT01804530440;Undirected;4
IT00695180422;IT02187050428;Undirected;4
IT00695180422;IT00514510429;Undirected;5
IT00695180422;IT01208700433;Undirected;4
IT00695180422;IT02406110417;Undirected;3
IT00695180422;IT02187070426;Undirected;4
IT00695180422;IT02074220423;Undirected;3
IT00695180422;IT02148460419;Undirected;4
IT00695180422;IT01151250444;Undirected;4
IT00695180422;IT00482590445;Undirected;4
IT00695180422;IT02154180406;Undirected;4
IT00695180422;IT02173910411;Undirected;5
IT00695180422;IT00672550423;Undirected;5
IT00695180422;IT02400170425;Undirected;5
IT00695180422;IT00960540425;Undirected;3
IT00695180422;IT02551120427;Undirected;4
IT00695180422;IT00790660674;Undirected;3
IT00695180422;IT02311080424;Undirected;4
IT00695180422;IT00708790423;Undirected;4
IT00695180422;IT01416980421;Undirected;5
IT00695180422;IT01590580443;Undirected;4
IT00695180422;IT02058040441;Undirected;4
IT00695180422;IT02447930401;Undirected;4
IT00695180422;IT02704040423;Undirected;4
IT00695180422;IT01903590436;Undirected;3
IT00695180422;IT00193430428;Undirected;3
